,IDF
0,5.239598529249124
001p,10.239598529249124
0ronchial,10.239598529249124
0time,10.239598529249124
1,1.7082170687328115
10,3.4451826628990174
100,5.381617534121552
1000,7.6546360285279675
10000,8.239598529249124
1000000,9.239598529249124
100000150000,10.239598529249124
100000fold,10.239598529249124
1000fold,10.239598529249124
100fold,10.239598529249124
101,10.239598529249124
1010,10.239598529249124
1015,10.239598529249124
102,7.43224360719152
1021,10.239598529249124
1023,10.239598529249124
103,7.917670434361761
1031,10.239598529249124
1038,10.239598529249124
104,7.6546360285279675
1047,10.239598529249124
105,8.654636028527968
1054,10.239598529249124
106,8.654636028527968
1060,10.239598529249124
1061,10.239598529249124
107,9.239598529249124
10722,10.239598529249124
108,7.6546360285279675
10821,10.239598529249124
1088,10.239598529249124
109,10.239598529249124
1098,10.239598529249124
10fold,10.239598529249124
10minut,10.239598529249124
10th,10.239598529249124
10year,9.239598529249124
10yearold,10.239598529249124
11,4.780166910611826
110,8.239598529249124
1100,10.239598529249124
11000,8.239598529249124
110000,10.239598529249124
1100000,10.239598529249124
110013700,10.239598529249124
110phenanthrolin,10.239598529249124
111,8.654636028527968
1113,10.239598529249124
111in,10.239598529249124
111inlabel,10.239598529249124
112,8.239598529249124
1122,10.239598529249124
113,8.239598529249124
1137,9.239598529249124
114,10.239598529249124
114ccholylglycin,10.239598529249124
115,10.239598529249124
11500,10.239598529249124
11524,10.239598529249124
115350,10.239598529249124
116,9.239598529249124
1169123175,10.239598529249124
117,7.917670434361761
117000,10.239598529249124
11787,10.239598529249124
118,10.239598529249124
11800,10.239598529249124
118300,10.239598529249124
119,8.239598529249124
11a,10.239598529249124
11s,10.239598529249124
11yearold,9.239598529249124
12,3.991671015805538
120,7.917670434361761
12000,8.239598529249124
1205,10.239598529249124
121,9.239598529249124
1212,10.239598529249124
1216,10.239598529249124
122,9.239598529249124
123,9.239598529249124
1238,10.239598529249124
1239566,10.239598529249124
124,10.239598529249124
125,6.780166910611826
125ilabel,9.239598529249124
125itrypsin,10.239598529249124
